,Name,Position,Height,Weight,Age in 2013
155,Norris Cole,Guard,74,170,24
156,Mario Chalmers,Guard,74,190,27
157,Dennis Schroeder,Guard,74,168,20
158,Jeff Teague,Guard,74,181,25
159,Luke Ridnour,Guard,74,175,32
160,C.J. Watson,Guard,74,175,29
161,George Hill,Guard,74,180,27
162,Daniel Gibson,Guard,74,200,27
163,Marquis Teague,Guard,74,189,20
164,Chris Smith,Guard,74,195,25
165,Jason Terry,Guard,74,180,36
166,Avery Bradley,Guard,74,180,22
167,Eric Bledsoe,Guard,73,195,23
168,Maalik Wayns,Guard,73,195,22
169,Trey Burke,Guard,73,185,20
170,Mo Williams,Guard,73,195,30
171,Earl Watson,Guard,73,195,34
172,Derek Fisher,Guard,73,210,39
173,Brian Roberts,Guard,73,180,27
174,Mike Conley,Guard,73,185,25
175,Patrick Beverley,Guard,73,180,25
176,Kemba Walker,Guard,73,172,23
177,Jannero Pargo,Guard,73,185,33
178,Lou Williams,Guard,73,175,26
179,Peyton Siva,Guard,73,181,22
180,Brandon Jennings,Guard,73,169,23
181,Raymond Felton,Guard,73,205,29
182,Rajon Rondo,Guard,73,171,27
183,Ish Smith,Guard,72,175,25
184,Chris Paul,Guard,72,175,28
185,Darren Collison,Guard,72,160,26
186,J.J. Barea,Guard,72,175,29
187,Patty Mills,Guard,72,185,25
188,Isaiah Canaan,Guard,72,198,22
189,Aaron Brooks,Guard,72,161,28
190,Mickey McConnell,Guard,72,189,24
191,Jameer Nelson,Guard,72,190,31
192,Will Bynum,Guard,72,185,30
193,Sebastian Telfair,Guard,72,175,28
194,Kyle Lowry,Guard,72,205,27
195,D.J. Augustin,Guard,72,180,25
196,John Lucas III,Guard,71,157,30
197,Ty Lawson,Guard,71,195,25
198,Shane Larkin,Guard,71,176,20
199,Phil Pressey,Guard,71,175,22
200,Isaiah Thomas,Guard,69,185,24
201,Nate Robinson,Guard,69,180,29
202,Pau Gasol,Forward,84,250,33
203,Jason Smith,Forward,84,240,27
204,Donatas Motiejunas,Forward,84,222,23
205,Dirk Nowitzki,Forward,84,245,35
206,Cody Zeller,Forward,84,230,20
207,Jason Thompson,Forward,83,250,27
208,Channing Frye,Forward,83,245,30
209,Ryan Kelly,Forward,83,230,22
210,LaMarcus Aldridge,Forward,83,240,28
211,Jared Jeffries,Forward,83,240,31
212,Perry Jones III,Forward,83,235,21
213,Anthony Randolph,Forward,83,225,24
214,Joffrey Lauvergne,Forward,83,235,21
215,Nene,Forward,83,250,31
216,Jan Vesely,Forward,83,240,23
217,Charlie Villanueva,Forward,83,232,29
218,Austin Daye,Forward,83,200,25
219,Arnett Moultrie,Forward,83,230,22
220,Tim Ohlbrecht,Forward,83,255,25
221,Kevin Garnett,Forward,83,253,37
222,Markieff Morris,Forward,82,245,24
223,Miles Plumlee,Forward,82,245,25
224,Jordan Hill,Forward,82,235,26
225,Blake Griffin,Forward,82,251,24
226,Lamar Odom,Forward,82,230,33
227,Derrick Favors,Forward,82,246,22
228,Thomas Robinson,Forward,82,237,22
229,Grant Jerrett,Forward,82,232,20
230,Serge Ibaka,Forward,82,235,24
231,Nick Collison,Forward,82,255,32
232,Kevin Love,Forward,82,250,25
233,Danilo Gallinari,Forward,82,225,25
234,Aron Baynes,Forward,82,260,26
